263085031,78,13
263105031,70,15
263125031,56,10
263145031,76,12
263165031,54,11
263185031,60,6
263205031,55,3
263225031,61,12
263245031,66,17
263265031,69,0
263285031,72,4
263305031,61,7
263325031,75,2
263345031,78,1
263365031,71,4
263385031,73,5
263405031,62,0
263425031,59,16
263445031,76,5
263465031,58,17
263485031,71,5
263505031,61,7
263525031,75,8
263545031,63,9
263565031,52,16
263585031,73,3
263605031,69,0
263625031,61,1
263645031,52,3
263665031,75,10
263685031,52,16
263705031,71,18
263725031,56,11
263745031,46,10
263765031,69,8
263785031,53,21
263805031,56,7
263825031,53,0
263845031,40,15
263865031,72,2
263885031,46,2
263905031,42,14
263925031,47,10
263945031,50,7
263965031,56,4
263985031,48,8
264005031,43,8
264025031,48,0
264045031,59,2
264065031,51,0
264085031,45,10
264105031,49,26
264125031,55,0
264145031,63,13
264165031,62,3
264185031,46,14
264205031,71,17
264225031,50,2
264245031,54,5
264265031,63,5
264285031,77,16
264305031,57,0
264325031,61,1
264345031,60,9
264365031,50,0
264385031,79,13
264405031,55,11
264425031,58,12
264445031,49,0
264465031,68,12
264485031,43,4
264505031,48,13
264525031,63,0
264545031,59,3
264565031,80,12
264585031,35,3
264605031,45,14
264625031,45,10
264645031,50,11
264665031,34,6
264685031,40,15
264705031,53,14
264725031,40,2
264745031,50,20
264765031,60,3
264785031,62,20
264805031,45,18
264825031,43,6
264845031,40,7
264865031,46,19
264885031,47,6
264905031,26,6
264925031,34,4
264945031,55,0
264965031,57,21
264985031,57,14
265005031,50,17
265025031,47,1
265045031,54,9
265065031,67,19
265085031,56,3
265105031,74,16
265125031,50,3
265145031,72,5
265165031,54,17
265185031,35,4
265205031,28,19
265225031,52,12
265245031,40,6
265265031,45,13
265285031,36,15
265305031,40,9
265325031,40,5
265345031,50,14
265365031,57,3
265385031,46,2
265405031,28,0
265425031,42,1
265445031,35,10
265465031,60,11
265485031,53,16
265505031,38,9
265525031,55,11
265545031,43,17
265565031,45,7
265585031,50,15
265605031,38,10
265625031,28,0
265645031,33,11
265665031,42,9
265685031,38,5
265705031,51,25
265725031,47,7
265745031,52,15
265765031,63,5
265785031,49,23
265805031,55,15
265825031,56,4
265845031,56,8
265865031,42,2
265885031,52,2
265905031,43,0
265925031,72,5
265945031,54,4
265965031,57,2
265985031,76,8
266005031,70,18
266025031,74,3
266045031,70,11
266065031,88,19
266085031,75,5
266105031,82,16
266125031,85,3
266145031,78,0
266165031,85,20
266185031,88,11
266205031,87,7
266225031,80,37
266245031,90,21
266265031,145,22
266285031,157,49
266305031,174,50
266325031,220,123
266345031,224,47
266365031,238,33
266385031,256,48
266405031,297,58
266425031,295,58
266445031,311,33
266465031,318,22
266485031,346,41
266505031,337,37
266525031,351,42
266545031,343,62
266565031,369,102
266585031,366,84
266605031,378,75
266625031,382,92
266645031,383,68
266665031,376,41
266685031,389,64
266705031,397,34
266725031,399,28
266745031,401,6
266765031,394,0
266785031,402,3
266805031,394,8
266825031,400,6
266845031,403,13
266865031,401,9
266885031,407,12
266905031,395,6
266925031,396,19
266945031,405,13
266965031,409,11
266985031,406,1
267005031,404,13
267025031,397,6
267045031,403,35
267065031,394,40
267085031,387,70
267105031,387,104
267125031,382,183
267145031,386,180
267165031,386,196
267185031,362,177
267205031,371,220
267225031,361,220
267245031,369,232
267265031,312,230
267285031,258,226
267305031,250,232
267325031,241,247
267345031,249,243
267365031,268,248
267385031,232,248
267405031,264,242
267425031,287,241
267445031,309,248
267465031,317,249
267485031,333,253
267505031,323,246
267525031,336,265
267545031,336,253
267565031,333,249
267585031,331,259
267605031,338,254
267625031,337,228
267645031,336,251
267665031,343,239
267685031,332,232
267705031,341,254
267725031,341,217
267745031,347,199
267765031,347,192
267785031,345,183
267805031,356,182
267825031,357,169
267845031,352,99
267865031,360,95
267885031,357,63
267905031,365,41
267925031,360,24
267945031,370,0
267965031,358,0
267985031,360,13
268005031,371,0
268025031,383,7
268045031,403,4
268065031,416,12
268085031,430,4
268105031,422,6
268125031,447,2
268145031,445,3
